유저 ID, Assembly, C, C++, C#, Dart, Go, Java, JavaScript, Kotlin, MATLAB, PHP, Python, Ruby, Rust, Scala, Swift, TypeScript
PirateZH,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
ilmoi,0,0,0,0,0,0.03,0,0,0,0,0,0.83,0,0.07,0,0,0.07
LopesOh,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
baby9992006,0,0.35,0.32,0,0,0,0.03,0.29,0,0,0,0,0,0,0,0,0
MG95TUX,0,0.08,0,0.08,0,0,0,0.83,0,0,0,0,0,0,0,0,0
wwwzzzpp,0,0,0,0.04,0,0,0.43,0.36,0,0,0,0.11,0,0.04,0,0,0.04
sleimana,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0
cruboy,0,0,0,0,0,0.36,0.02,0.19,0,0,0.34,0.03,0,0,0,0,0.05
Huggyturd,0,0,0,0,0,0,0.04,0.77,0,0,0,0.15,0,0,0,0,0.04
jinny-seo,0,0,0,0,0,0,0,0.97,0,0,0,0,0,0,0,0,0.03
mcdonop,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5
amsitlab,0,0,0,0,0,0,0.29,0,0.71,0,0,0,0,0,0,0,0
stardut,0,0,0,0,0,0,0,0.2,0,0,0,0.8,0,0,0,0,0
BeckaM,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0
kevinshenyang07,0,0,0,0,0,0,0,0.97,0,0,0,0,0,0,0.03,0,0
agungdyo,0,0,0,0,0,0.05,0,0.81,0,0,0.05,0.03,0,0,0,0,0.05
Pawelbure,0,0,0,0,0,0,0,0.77,0,0,0,0.23,0,0,0,0,0
hkscy,0,0.57,0.03,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0
gitbufenshuo,0,0.13,0.11,0,0,0.63,0,0.11,0,0,0,0,0,0.01,0,0,0.01
ian77,0,0,0,0,0,0,0.71,0,0.14,0,0,0,0,0,0,0,0.14
tjorsz,0,0.03,0.34,0,0,0,0,0,0,0,0,0.63,0,0,0,0,0
badhitman,0,0,0,0.96,0,0.02,0,0.02,0,0,0,0,0,0,0,0,0
berksmbl,0,0.03,0,0,0,0,0,0.27,0,0,0.03,0.32,0,0,0,0,0.35
aaBoustani,0,0,0.02,0,0,0,0,0.23,0.02,0,0,0.04,0,0,0,0,0.69
sweetOranges,0,0.33,0.06,0,0,0,0,0.41,0,0,0.2,0,0,0,0,0,0
kphair,0,0,0.08,0,0,0,0.48,0.23,0,0,0,0,0.21,0,0,0,0
tremblap,0,0.48,0.48,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0
inabajunmr,0,0,0.01,0.01,0,0.27,0.13,0.38,0.01,0,0.01,0.13,0.01,0.01,0,0.01,0
esther5576,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AlexandreJadin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
hiraku00,0,0,0,0,0,0,0,0,0,0,0,0.76,0,0,0,0,0.24
bill9109,0,0.22,0,0,0,0,0,0.02,0,0,0,0.29,0,0,0,0,0.47
Sabelor,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Alex141,0,0,0.02,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0
max-zhilin,0,0,0,0,0,0,0.05,0,0.95,0,0,0,0,0,0,0,0
diaena,0,0.35,0.42,0,0,0,0,0.02,0,0,0,0.19,0,0,0,0,0.02
luccaroder,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0
mrNoactiv,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
karanprasad217,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0
SongJieCN,0,0,0.14,0,0,0,0,0.71,0,0,0,0.14,0,0,0,0,0
jetan9019,0,0.04,0,0,0,0,0.38,0,0,0,0,0.54,0,0,0,0,0.04
moba1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unalun,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
chenhaoying,0,0.92,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daibhid666,0,0,0,0,0,0,0.56,0.44,0,0,0,0,0,0,0,0,0
eleven26,0,0,0.05,0.1,0,0.5,0.1,0,0,0,0.15,0.05,0,0,0,0,0.05
lerarosalene,0,0,0,0.06,0.06,0.06,0,0.22,0,0,0.56,0,0,0,0,0,0.06
r00xus,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
zhouming735,0,0,0,0,0,0.01,0.74,0.25,0,0,0,0,0,0,0,0,0
Lohenrex,0,0.03,0,0.57,0,0,0,0.09,0,0,0,0,0.03,0,0,0,0.29
ingez,0,0.22,0.02,0,0,0,0.02,0,0,0,0,0.24,0,0,0,0.49,0
winddd,0,0,0.32,0,0,0.03,0.01,0.01,0,0,0,0.59,0,0,0,0,0.03
ixhorse,0,0,0,0,0,0,0,0.03,0,0,0,0.97,0,0,0,0,0
woshizmxin,0,0.02,0.02,0,0.02,0,0.9,0.02,0,0,0.02,0.02,0,0,0,0,0
Hidjy,0,0.06,0.82,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0
xeindox,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
alexandr-shegeda,0,0,0,0,0,0,0.8,0.2,0,0,0,0,0,0,0,0,0
IComac,0,0,0,0,0,0,0.8,0.2,0,0,0,0,0,0,0,0,0
Frannie-Ludmilla,0,0.02,0,0,0,0,0.15,0.18,0,0,0,0.17,0,0.02,0.47,0,0
didmar,0,0,0,0,0,0.01,0,0.3,0,0,0,0.48,0.01,0.01,0,0,0.17
MikolajPieklo,0,0.93,0.06,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0
beralc,0,0,0,0,0,0,0,0.31,0,0,0,0.03,0,0,0,0,0.66
Jaxx4Fun,0,0,0.02,0,0,0,0,0.44,0.02,0,0,0.24,0,0.22,0,0,0.04
staimov,0,0,0.01,0,0,0.01,0.57,0.27,0,0,0,0.13,0,0,0,0,0
Marechal-L,0,0.2,0.2,0.2,0,0,0.2,0,0,0,0,0.2,0,0,0,0,0
fayruzrahma,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stlrnz,0,0.02,0,0,0,0.02,0,0.03,0,0,0.93,0,0,0,0,0,0
mscelnik,0,0.04,0,0.04,0,0,0,0,0,0,0,0.92,0,0,0,0,0
vmstukalov,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5
JackeyGuo,0,0,0.14,0,0,0,0,0.01,0,0,0,0.84,0,0,0,0,0
yadtang,0,0,0,0,0,0,0.81,0.19,0,0,0,0,0,0,0,0,0
zhuangdize,0,0,0,0,0,0,0,0.79,0,0,0,0.01,0,0,0,0,0.19
jimzhou1986,0,0,0,0,0,0.32,0.35,0.29,0,0,0,0.03,0,0,0,0,0
mariongiraud,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
SomeGuyAtRandom,0,0,0,0.6,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0
mdramiz,0,0,0,0,0,0,0,0.95,0,0,0.05,0,0,0,0,0,0
kingwingshome,0,0,0.38,0,0,0,0.13,0.13,0,0,0,0.38,0,0,0,0,0
ar4,0,0.25,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0
polarities,0,0,0.11,0.04,0,0,0.39,0,0,0,0,0.39,0,0,0,0,0.07
vikas-appdev,0,0,0,0,0,0,0.1,0.33,0.17,0,0,0.03,0.33,0,0,0,0.03
kdestiny,0,0,0,0,0,0,0.06,0.18,0,0,0.44,0.31,0,0,0,0,0.01
shoxive,0,0.03,0,0,0.03,0,0.95,0,0,0,0,0,0,0,0,0,0
KameronHowlett,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
BeepoWuff,0,0,0,0,0,0,0.98,0,0.02,0,0,0,0,0,0,0,0
mjnck,0,0.36,0.04,0,0,0,0.18,0,0.02,0,0,0.22,0,0.18,0,0,0
limit1992,0,0,0,0,0,0.03,0.94,0.03,0,0,0,0,0,0,0,0,0
NielsPeeters,0,0.02,0,0.02,0,0.04,0,0.24,0,0,0,0.02,0,0.04,0,0.2,0.42
361972763,0,0,0,0,0,0,0.78,0.22,0,0,0,0,0,0,0,0,0
himanshusukhpal,0,0,0,0,0,0,0,0.47,0,0,0.07,0,0,0,0,0,0.47
napoleo,0,0,0,0,0,0,0.22,0.33,0,0,0,0,0,0,0,0.11,0.33
jawker,0,0,0.02,0,0,0.02,0.76,0,0.02,0,0,0.19,0,0,0,0,0
coderdecoder01,0,0,0,0,0,0,0.22,0.57,0,0,0,0.22,0,0,0,0,0
ctylim,0,0,0,0.2,0,0.44,0,0.24,0,0,0,0.06,0,0.06,0,0,0
Servuc,0,0,0,0,0,0,0,0.79,0,0,0,0.02,0,0,0,0,0.19
bryanlilly,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5
shunichironomura,0,0.03,0,0,0,0,0,0.05,0,0,0,0.87,0,0.03,0,0,0.03
BrunoAlisson,0,0,0,0.37,0,0,0,0.29,0,0,0,0,0,0,0,0,0.34
Denuve,0,0,0,0.6,0,0,0,0.4,0,0,0,0,0,0,0,0,0
yoyomule,0,0,0.07,0,0,0,0,0.85,0,0,0,0.05,0,0,0,0,0.03
eaurele,0,0,0,0,0,0,0,0.4,0,0,0,0.4,0,0.2,0,0,0
jecklibin,0,0,0,0,0,0.22,0.67,0.06,0,0,0,0,0,0,0,0,0.06
rameshmalla,0,0,0,0,0,0.08,0.87,0,0,0,0,0.03,0,0,0.03,0,0
SOGAPPS,0,0,0,0.23,0,0,0.53,0.02,0,0,0,0,0,0,0,0.23,0
poleha,0,0,0,0,0,0,0,0.24,0,0,0,0.76,0,0,0,0,0
lqiang2003cn,0,0.06,0,0.06,0,0,0.56,0,0,0,0,0.28,0,0,0,0,0.06
ching0114,0,0,0,0,0,0,0,0.8,0,0,0,0.2,0,0,0,0,0
progzdeveloper,0,0.05,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lucassanttoss,0,0.04,0.02,0,0,0,0,0.44,0,0,0,0.46,0,0,0,0,0.04
LydiaF,0,0,0,0,0,0.05,0,0.6,0,0,0,0.05,0,0,0,0,0.3
machdmach,0,0,0,0.5,0,0,0,0.25,0,0,0,0,0.25,0,0,0,0
simon-greatrix,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
g977284333,0,0,0,0,0.01,0,0.51,0.15,0.01,0,0,0.29,0,0,0,0,0.01
tjquillan,0,0,0.02,0,0,0,0,0,0,0,0,0.33,0,0.28,0,0.02,0.35
169,0,0,0,0,0,0.02,0,0.02,0,0,0,0.58,0,0.02,0,0,0.37
akilmarshall,0,0.05,0.29,0,0,0.03,0,0.03,0,0,0,0.61,0,0,0,0,0
ableade,0,0,0.25,0,0,0,0,0.25,0,0,0,0.5,0,0,0,0,0
yxw390,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
duyguozc,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0
Lokutos,0,0,0.06,0.06,0,0,0,0,0,0,0.83,0.06,0,0,0,0,0
tianshangdeyun,0,0,0,0,0,0.03,0.52,0,0,0,0,0.41,0,0,0.03,0,0
fly4lol,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SamuelFigueroa,0,0,0,0.33,0,0,0,0.67,0,0,0,0,0,0,0,0,0
DylanBaker,0,0,0,0,0,0,0,0.06,0,0,0,0.88,0,0.06,0,0,0
fanjeffrey,0,0,0,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0.08
ianfireman,0,0,0,0.26,0,0,0.21,0.04,0,0,0,0,0.43,0,0,0,0.06
jsteinaker,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MikeDrewitt,0,0.14,0.04,0.01,0,0.01,0,0.28,0,0,0,0.13,0,0,0,0,0.38
PVMOTZ,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5
PatrickMer,0.14,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0.29
MegusJohnson,0,0.41,0.41,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0
newrajneesh,0,0,0.33,0,0,0,0,0.33,0,0,0,0.33,0,0,0,0,0
alexanderhale,0.2,0,0,0,0,0,0.78,0.02,0,0,0,0,0,0,0,0,0
caneslms83,0,0,0,0,0,0,0,0.31,0,0,0.63,0.03,0,0,0,0,0.03
pmbarry,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
boolend,0,0.33,0.33,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0
gautambcode,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HuJobs,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0
Nondzu,0,0,0,0,0,0.45,0,0,0,0,0.21,0.32,0,0,0,0,0.02
adilnomad,0,0,0.14,0,0,0,0,0.71,0,0,0,0.14,0,0,0,0,0
ocdevcn,0,0,0,0,0,0,0.1,0.2,0.1,0,0,0.6,0,0,0,0,0
mxeise,0,0,0,0,0,0.03,0,0.82,0,0,0,0.03,0.03,0,0,0,0.11
anulagarwal,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
leandersonralves,0,0.02,0.04,0.7,0,0,0,0.23,0,0,0,0,0,0,0,0,0
AparnaThirthapura,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Anishgoofle,0,0,0,0,0,0,0.02,0.79,0,0,0.17,0.02,0,0,0,0,0
Bx3mE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cahc,0,0,0,0,0,0,0.98,0,0.02,0,0,0,0,0,0,0,0
yamnel,0,0.31,0,0,0,0.03,0.31,0,0,0,0,0,0,0,0,0.31,0.03
smatell,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ed-murat,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
RosaRend,0,0,0,0.14,0,0,0,0.43,0,0,0,0,0,0,0,0,0.43
PaulBless,0,0,0,0,0,0,0,0.4,0,0,0.6,0,0,0,0,0,0
zjgzimmerman,0,0.08,0.05,0.26,0,0,0,0.05,0,0,0.26,0.03,0,0,0,0,0.28
asnunes,0,0,0,0,0,0,0,0.63,0,0,0,0,0,0.06,0,0.06,0.25
YaStepan,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
yeonjaepark,0,0,0,0,0,0,0,0.94,0,0,0,0.03,0,0,0,0,0.03
Locnguyen4696,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.75
ipfyx,0,0,0,0.03,0,0,0.29,0.03,0,0,0,0.66,0,0,0,0,0
VishalD51,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0.02
RaithZx,0,0,0,0,0,0.05,0,0.53,0,0,0,0.05,0,0.05,0,0.05,0.26
RoDivinity,0,0,0.04,0,0,0,0.46,0.42,0,0,0,0.04,0,0,0,0,0.04
Li4dz,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5
ramauidev,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0.67
webcd,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
leopoldlc,0,0,0,0.25,0,0,0,0,0,0,0,0.75,0,0,0,0,0
ttalcott,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0
parucker,0,0,0,0,0,0,0,0.45,0,0,0,0.55,0,0,0,0,0
ramyacuidev,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
tom2809,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
TaoYang-dev,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
IanMoritz,0,0,0,0,0,0,0,0.99,0,0,0,0.01,0,0,0,0,0
LeandroCarneiro,0,0,0,0.5,0,0.25,0,0,0,0,0,0.25,0,0,0,0,0
PujohnSUST,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
philipsoeberg,0,0.31,0.16,0,0.3,0,0,0.06,0,0,0.15,0,0,0,0,0,0.01
czeslaw-milosz,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
znqlsx,0,0,0,0.03,0,0,0,0.34,0,0,0,0,0,0.31,0,0,0.31
AndreySakun,0,0,0.68,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0
menkudle,0,0,0,0,0,0,0,0.52,0,0,0,0.4,0,0,0,0,0.08
anujdubey1996,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Briantenny,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
vanessadamario,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
shyamamtiya,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
pvls,0,0,0,0,0,0,0.26,0,0.26,0,0,0.23,0.26,0,0,0,0
germanyesidmillan,0,0,0,0,0,0,0,0.33,0,0,0.33,0,0,0,0,0,0.33
pabpobar,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
UUInc-co,0,0.75,0.06,0,0,0,0,0.06,0,0,0,0.13,0,0,0,0,0
grossiweb,0,0,0,0,0,0,0,0.33,0,0,0.33,0.33,0,0,0,0,0
TsungTang,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0.3
emartisoft,0.16,0.59,0.17,0,0,0,0,0.04,0,0,0,0.01,0,0.03,0,0,0
mmracho,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
EduardoSorto23,0,0,0,0,0,0,0.49,0,0.49,0,0,0,0,0,0,0.02,0
santroy,0,0,0.2,0,0,0,0.2,0.6,0,0,0,0,0,0,0,0,0
judebcampbell,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
mrA121,0,0,0,0,0,0,0,0.33,0,0,0,0.67,0,0,0,0,0
lauraborgato,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5
gringolalia,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0.7
jacoboviii,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0
chenyucheng2016,0,0.14,0.14,0,0,0,0,0,0,0.29,0,0.43,0,0,0,0,0
Orcan37,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Aditya-9712,0,0,0,0,0,0,0,0.33,0,0,0.33,0,0,0,0.33,0,0
DroidRonin,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
trevinwisaksana,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0.95,0.02
chandangope,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dailtonduraes,0,0,0.25,0.25,0,0,0,0.5,0,0,0,0,0,0,0,0,0
asponda,0,0,0,0.26,0,0,0,0.58,0,0,0,0.05,0,0,0,0,0.11
tejasvi-mehra,0,0,0,0.13,0,0,0,0.5,0,0,0,0,0,0,0,0,0.38
Bongiboy777,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
StanbrookBuyer,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
KennyTaiDuong,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0.6
opejovic,0,0,0,0,0,0,0,0.11,0,0,0.81,0,0,0,0,0,0.07
rstaniek,0,0.15,0,0.31,0,0.03,0.31,0,0,0,0,0.15,0,0,0,0,0.04
KevinUre,0,0,0.24,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0.49
costis-t,0,0,0.84,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0.04
Karmineitor,0,0,0,0,0.3,0,0.3,0.36,0,0,0,0.03,0,0,0,0,0
ashashikant54,0,0,0,0,0,0,0.24,0.5,0,0,0,0.26,0,0,0,0,0
Xancett,0,0,0.33,0,0,0,0,0.67,0,0,0,0,0,0,0,0,0
talhakavuncu,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
piegu,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
netranu2010,0,0,0,0.25,0,0,0,0.25,0,0,0,0.5,0,0,0,0,0
victordeaguiarsouza,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
italohqueiroz,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0.5,0
XzyK77,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
aditshh,0,0,0,0.65,0,0,0.16,0.18,0,0,0,0.02,0,0,0,0,0
the-klingspor,0,0,0.31,0,0,0,0,0,0,0,0,0.69,0,0,0,0,0
mjsauro,0,0,0,0.74,0,0,0,0.26,0,0,0,0,0,0,0,0,0
emilyyutschmidtling,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Postman33,0,0,0,0,0,0,0.17,0.17,0,0,0,0.17,0,0,0,0,0.5
DaveLuhman,0,0,0,0,0,0,0,0.7,0,0,0,0.24,0,0,0,0,0.07
kali-muon,0,0,0.33,0,0,0,0,0,0,0,0,0.33,0,0.33,0,0,0
hyunhw,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0
mred2nice,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
savadom13,0,0,0,0.48,0,0.52,0,0,0,0,0,0,0,0,0,0,0
kartik-mehra,0,0,0,0,0,0,0.45,0.45,0,0,0,0,0,0,0,0.09,0
andreaestrada,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
sinsangkug,0,0,0,0,0,0,0.8,0.2,0,0,0,0,0,0,0,0,0
winwintogether,0,0,0,0.01,0,0,0,0.36,0,0,0.19,0,0,0,0,0,0.43
JayKuzzi,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
rajujorhat46,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
dnzl123,0,0,0,0,0,0,0.72,0.28,0,0,0,0,0,0,0,0,0
jamiepg,0,0.12,0.11,0,0,0,0.21,0.12,0,0,0,0,0.11,0.1,0,0.22,0.01
udaykittu,0,0,0,0.06,0,0.06,0,0.88,0,0,0,0,0,0,0,0,0
Jiyoooon,0,0.24,0,0,0.26,0,0.26,0.24,0,0,0,0,0,0,0,0,0
f1601413521GitHub,0,0,0,0.84,0,0,0,0.08,0,0,0,0.08,0,0,0,0,0
Zulbukharov,0,0.34,0.11,0.11,0,0.03,0,0.23,0,0,0,0.14,0,0,0,0,0.02
jarad0628,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Conein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5026TeslaCoilsFTC,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
philiplee15,0,0.03,0.34,0,0,0,0,0.1,0,0,0,0.07,0,0,0,0.34,0.1
stymri,0,0,0,0,0,0,0.65,0.32,0,0,0,0,0,0,0,0,0.03
xiangyu1203,0,0.01,0.03,0.01,0,0,0.26,0.27,0.01,0,0,0.26,0,0,0,0,0.14
tilseam,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0.83,0.11
lixiyu2,0,0,0,0,0,0,0.35,0,0,0,0,0.65,0,0,0,0,0
ShinHyunWook,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Sadam100,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5
hannac222,0,0.04,0,0,0,0,0,0.88,0,0,0,0,0,0,0,0,0.08
zenoman,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
NickNWJ,0,0,0,0,0,0,0.22,0.3,0,0,0.24,0,0,0,0,0,0.24
mailchen,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0
athulms1988,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
DoLiLu,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
longshuo1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
berylCoooool,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
nomali,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
sureshishan,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Bharat2195,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
sweet-orange,0,0,0,0,0,0,0,0.94,0,0,0,0,0,0,0,0,0.06
